date,category,region,units_sold,stock_available,avg_price,promotion_flag
2022-04-09,Dairy,South,219,1744,5.527272727272727,1
2022-04-09,Dairy,West,299,1953,5.319999999999999,1
2022-04-10,Dairy,North,398,2698,6.319375,1
2022-04-10,Dairy,South,300,1878,6.412727272727273,1
2022-04-10,Dairy,West,377,2687,5.469411764705883,1
2022-04-11,Dairy,North,350,2054,5.177333333333333,1
2022-04-11,Dairy,South,293,2062,5.475333333333333,1
2022-04-11,Dairy,West,275,1624,5.229166666666667,1
2022-04-12,Dairy,North,362,2716,4.597222222222222,1
2022-04-12,Dairy,South,411,2520,4.791333333333333,1
2022-04-12,Dairy,West,306,2308,5.8568750000000005,1
2022-04-13,Dairy,North,470,3339,4.701428571428572,1
2022-04-13,Dairy,South,388,3280,5.261904761904762,1
2022-04-13,Dairy,West,430,3057,5.823,1
2022-04-14,Dairy,North,393,2662,5.062352941176471,1
2022-04-14,Dairy,South,420,3020,5.1530000000000005,1
2022-04-14,Dairy,West,520,3506,5.98,1
2022-04-15,Dairy,North,411,2902,4.629444444444444,1
2022-04-15,Dairy,South,351,2803,5.764705882352941,1
2022-04-15,Dairy,West,522,3227,5.439444444444444,1
2022-04-16,Dairy,North,309,2459,5.16625,1
2022-04-16,Dairy,South,415,3018,6.153157894736842,1
2022-04-16,Dairy,West,419,2793,5.933333333333334,1
2022-04-17,Dairy,North,400,2935,5.158888888888889,1
2022-04-17,Dairy,South,474,2855,5.101111111111112,1
2022-04-17,Dairy,West,411,2909,4.7877777777777775,1
2022-04-17,Instant Food,North,43,475,5.976666666666667,0
2022-04-17,Instant Food,South,46,444,2.013333333333333,0
2022-04-17,Instant Food,West,28,331,4.455,0
2022-04-18,Dairy,North,477,3067,5.545789473684211,1
2022-04-18,Dairy,South,362,2815,4.547777777777778,1
2022-04-18,Dairy,West,517,2896,6.894736842105263,1
2022-04-18,Instant Food,North,28,405,6.76,0
2022-04-18,Instant Food,South,31,302,8.4,0
2022-04-18,Instant Food,West,13,148,6.415,1
2022-04-19,Dairy,North,433,3063,5.499473684210526,1
2022-04-19,Dairy,South,422,2981,4.6435,1
2022-04-19,Dairy,West,343,2778,5.275294117647059,1
2022-04-19,Instant Food,North,43,629,5.166666666666667,0
2022-04-19,Instant Food,South,74,732,5.62,1
2022-04-19,Instant Food,West,19,249,3.82,0
2022-04-20,Dairy,North,434,3099,5.086315789473685,1
2022-04-20,Dairy,South,461,2777,4.865,1
2022-04-20,Dairy,West,387,3037,4.471578947368421,0
2022-04-20,Instant Food,North,8,117,6.46,0
2022-04-20,Instant Food,South,40,552,5.366666666666667,0
2022-04-20,Instant Food,West,30,288,6.88,0
2022-04-21,Dairy,North,423,2812,5.949411764705882,1
2022-04-21,Dairy,South,265,2042,5.475714285714285,1
2022-04-21,Dairy,West,264,2008,3.658666666666667,1
2022-04-21,Instant Food,North,25,309,3.8233333333333337,0
2022-04-21,Instant Food,South,20,266,5.404999999999999,0
2022-04-21,Instant Food,West,52,430,5.303333333333334,1
2022-04-22,Dairy,North,417,3108,4.968947368421053,1
2022-04-22,Dairy,South,402,2905,5.489999999999999,1
2022-04-22,Dairy,West,421,2844,5.075294117647059,1
2022-04-22,Instant Food,North,27,125,4.2,1
2022-04-22,Instant Food,South,59,655,5.19,0
2022-04-22,Instant Food,West,38,378,4.6066666666666665,0
2022-04-23,Dairy,North,362,2727,5.572352941176471,1
2022-04-23,Dairy,South,364,2649,4.681111111111111,1
2022-04-23,Dairy,West,360,2594,4.415882352941176,1
2022-04-23,Instant Food,North,38,578,7.363333333333332,0
2022-04-23,Instant Food,South,46,466,5.653333333333333,0
2022-04-23,Instant Food,West,19,197,2.8200000000000003,0
2022-04-24,Dairy,North,495,3472,6.871,1
2022-04-24,Dairy,South,487,3017,5.134444444444444,1
2022-04-24,Dairy,West,260,2129,5.625714285714286,0
2022-04-24,Instant Food,North,73,611,5.23,1
2022-04-24,Instant Food,South,34,342,7.15,0
2022-04-24,Instant Food,West,40,404,3.96,0
2022-04-25,Dairy,North,295,2125,4.525714285714286,1
2022-04-25,Dairy,South,355,2475,6.621666666666666,1
2022-04-25,Dairy,West,392,2906,5.300526315789474,1
2022-04-25,Instant Food,North,53,550,3.9933333333333336,0
2022-04-25,Instant Food,South,37,502,4.243333333333333,0
2022-04-25,Instant Food,West,34,361,5.123333333333333,0
2022-04-26,Dairy,North,399,2687,5.051052631578948,1
2022-04-26,Dairy,South,448,2837,4.892222222222222,1
2022-04-26,Dairy,West,451,2482,5.625294117647059,1
2022-04-26,Instant Food,North,47,334,4.53,1
2022-04-26,Instant Food,South,30,357,4.013333333333333,0
2022-04-26,Instant Food,West,17,218,2.94,0
2022-04-27,Dairy,North,508,2612,5.65125,1
2022-04-27,Dairy,South,321,2324,6.05,1
2022-04-27,Dairy,West,524,3046,4.98,1
2022-04-27,Instant Food,North,37,427,4.776666666666666,0
2022-04-27,Instant Food,South,21,305,5.305,0
2022-04-27,Instant Food,West,62,471,4.746666666666667,1
2022-04-28,Dairy,North,383,2572,4.514375,1
2022-04-28,Dairy,South,411,2784,5.38,1
2022-04-28,Dairy,West,427,2916,4.511875,1
2022-04-28,Instant Food,North,22,230,5.485,0
2022-04-28,Instant Food,South,29,475,5.890000000000001,0
2022-04-28,Instant Food,West,27,263,7.243333333333333,0
2022-04-29,Dairy,North,396,2637,4.125555555555556,1
2022-04-29,Dairy,South,405,2839,4.177368421052631,1
2022-04-29,Dairy,West,492,3080,5.632777777777778,1
2022-04-29,Instant Food,North,43,600,5.996666666666667,0
2022-04-29,Instant Food,South,61,388,6.153333333333333,1
2022-04-29,Instant Food,West,62,456,6.156666666666666,1
2022-04-30,Dairy,North,403,2568,4.611666666666667,1
2022-04-30,Dairy,South,419,3140,5.749047619047619,1
2022-04-30,Dairy,West,351,2627,5.2092857142857145,1
2022-04-30,Instant Food,North,27,324,5.234999999999999,0
2022-04-30,Instant Food,South,18,247,6.18,0
2022-04-30,Instant Food,West,40,290,3.753333333333333,1
2022-05-01,Dairy,North,418,2607,4.598235294117647,1
2022-05-01,Dairy,South,494,2793,5.711666666666667,1
2022-05-01,Dairy,West,395,2777,5.329473684210527,1
2022-05-01,Instant Food,North,42,478,7.416666666666667,0
2022-05-01,Instant Food,South,40,561,5.5633333333333335,0
2022-05-01,Instant Food,West,44,422,6.493333333333332,1
2022-05-02,Dairy,North,420,2796,5.101111111111111,1
2022-05-02,Dairy,South,372,2770,5.685294117647058,1
2022-05-02,Dairy,West,453,3312,5.388421052631578,1
2022-05-02,Instant Food,North,55,675,6.534000000000001,0
2022-05-02,Instant Food,South,66,742,5.604,1
2022-05-02,Instant Food,West,78,678,4.4325,1
2022-05-03,Dairy,North,433,2498,5.6225,1
2022-05-03,Dairy,South,382,2503,5.473125,1
2022-05-03,Dairy,West,548,3394,4.6738888888888885,1
2022-05-03,Instant Food,North,95,867,5.176666666666667,1
2022-05-03,Instant Food,South,72,976,4.126,0
2022-05-03,Instant Food,West,61,770,6.264,0
2022-05-04,Dairy,North,446,2911,5.086666666666667,0
2022-05-04,Dairy,South,475,2768,4.956111111111111,1
2022-05-04,Dairy,West,435,2782,5.349444444444444,1
2022-05-04,Instant Food,North,72,614,5.609999999999999,1
2022-05-04,Instant Food,South,76,757,4.21,1
2022-05-04,Instant Food,West,83,1002,6.15,0
2022-05-05,Dairy,North,438,2765,4.468,1
2022-05-05,Dairy,South,399,2474,5.888823529411765,1
2022-05-05,Dairy,West,328,2214,4.784285714285715,1
2022-05-05,Instant Food,North,50,764,5.6433333333333335,0
2022-05-05,Instant Food,South,49,653,5.540000000000001,0
2022-05-05,Instant Food,West,126,1075,5.971666666666667,1
2022-05-06,Dairy,North,451,2907,4.955,1
2022-05-06,Dairy,South,445,2898,5.376111111111111,1
2022-05-06,Dairy,West,389,2438,5.273333333333333,1
2022-05-06,Instant Food,North,92,770,6.298,1
2022-05-06,Instant Food,South,39,603,6.136666666666667,0
2022-05-06,Instant Food,West,75,882,6.006666666666667,0
2022-05-07,Dairy,North,481,2813,5.604117647058823,1
2022-05-07,Dairy,South,509,3041,4.866842105263157,1
2022-05-07,Dairy,West,401,2602,4.829444444444444,1
2022-05-07,Instant Food,North,84,756,6.276666666666666,1
2022-05-07,Instant Food,South,62,758,6.331666666666667,1
2022-05-07,Instant Food,West,41,696,6.585,0
2022-05-08,Dairy,North,627,3566,5.523809523809524,1
2022-05-08,Dairy,South,478,2892,5.377222222222223,1
2022-05-08,Dairy,West,529,2924,4.077894736842105,1
2022-05-08,Instant Food,North,83,633,3.592,1
2022-05-08,Instant Food,South,86,574,5.843333333333334,1
2022-05-08,Instant Food,West,84,782,5.536,1
2022-05-09,Dairy,North,463,2756,4.307777777777778,1
2022-05-09,Dairy,South,537,2722,5.102777777777778,1
2022-05-09,Dairy,West,356,2403,5.807222222222222,1
2022-05-09,Instant Food,North,110,946,3.6,1
2022-05-09,Instant Food,South,67,890,4.792,0
2022-05-09,Instant Food,West,42,405,4.873333333333334,0
2022-05-10,Dairy,North,612,3465,4.925238095238096,1
2022-05-10,Dairy,South,591,3311,4.182105263157895,1
2022-05-10,Dairy,West,382,2387,5.391875,1
2022-05-10,Instant Food,North,91,811,4.71,1
2022-05-10,Instant Food,South,78,898,5.251666666666666,1
2022-05-10,Instant Food,West,69,823,4.816666666666666,1
2022-05-11,Dairy,North,378,2581,6.491111111111112,1
2022-05-11,Dairy,South,456,2870,5.328333333333333,1
2022-05-11,Dairy,West,474,2627,5.448125,1
2022-05-11,Instant Food,North,100,1127,5.24,0
2022-05-11,Instant Food,South,181,1832,5.293333333333333,1
2022-05-11,Instant Food,West,113,1164,3.4,1
2022-05-12,Dairy,North,546,3029,5.602222222222222,1
2022-05-12,Dairy,South,368,2061,5.255714285714285,1
2022-05-12,Dairy,West,446,2688,4.643125,1
2022-05-12,Instant Food,North,131,1241,4.4925,1
2022-05-12,Instant Food,South,78,1306,4.93,0
2022-05-12,Instant Food,West,145,1291,5.42,1
2022-05-13,Dairy,North,493,3046,6.146111111111111,1
2022-05-13,Dairy,South,389,2546,5.205625,1
2022-05-13,Dairy,West,450,2832,5.00764705882353,1
2022-05-13,Instant Food,North,84,1124,5.165,0
2022-05-13,Instant Food,South,109,1189,5.575714285714286,0
2022-05-13,Instant Food,West,112,919,4.87,1
2022-05-14,Dairy,North,472,2723,4.944444444444445,1
2022-05-14,Dairy,South,479,2604,5.340555555555556,1
2022-05-14,Dairy,West,438,2382,4.033846153846154,1
2022-05-14,Instant Food,North,111,1186,4.05,1
2022-05-14,Instant Food,South,93,896,6.095,1
2022-05-14,Instant Food,West,104,1280,5.0225,1
2022-05-15,Dairy,North,425,2834,4.741666666666666,1
2022-05-15,Dairy,South,327,2228,4.8275,1
2022-05-15,Dairy,West,435,2654,5.091666666666667,1
2022-05-15,Instant Food,North,96,1207,5.277142857142857,1
2022-05-15,Instant Food,South,153,1405,5.66,1
2022-05-15,Instant Food,West,133,1487,4.4525,0
2022-05-16,Dairy,North,382,2651,5.406666666666666,0
2022-05-16,Dairy,South,573,3201,5.1685,1
2022-05-16,Dairy,West,411,2758,4.965625,0
2022-05-16,Instant Food,North,116,1199,4.625,1
2022-05-16,Instant Food,South,96,1209,4.961428571428571,0
2022-05-16,Instant Food,West,76,1074,5.93375,0
2022-05-17,Dairy,North,534,2783,4.636111111111111,1
2022-05-17,Dairy,South,526,2946,5.273684210526316,1
2022-05-17,Dairy,West,475,2769,5.204117647058824,1
2022-05-17,Instant Food,North,97,1251,5.042857142857143,0
2022-05-17,Instant Food,South,98,1336,5.542222222222222,1
2022-05-17,Instant Food,West,105,1196,4.54875,1
2022-05-18,Dairy,North,608,3090,3.7694736842105274,1
2022-05-18,Dairy,South,393,2524,4.786470588235295,1
2022-05-18,Dairy,West,486,2621,5.914000000000001,1
2022-05-18,Instant Food,North,108,1185,5.604444444444444,1
2022-05-18,Instant Food,South,95,1091,4.40125,1
2022-05-18,Instant Food,West,113,1186,5.522857142857142,1
2022-05-19,Dairy,North,422,2666,5.453529411764706,1
2022-05-19,Dairy,South,503,2963,5.042631578947368,1
2022-05-19,Dairy,West,509,3280,5.489047619047619,1
2022-05-19,Instant Food,North,155,1586,6.371111111111111,1
2022-05-19,Instant Food,South,131,1471,4.733333333333333,1
2022-05-19,Instant Food,West,90,737,5.691428571428572,1
2022-05-20,Dairy,North,437,2711,5.479444444444444,1
2022-05-20,Dairy,South,458,2786,4.733157894736841,1
2022-05-20,Dairy,West,472,2425,4.774615384615385,1
2022-05-20,Instant Food,North,97,1224,4.682857142857143,0
2022-05-20,Instant Food,South,128,1510,5.693333333333333,1
2022-05-20,Instant Food,West,105,1140,5.535714285714286,0
2022-05-21,Dairy,North,439,2844,4.215882352941176,1
2022-05-21,Dairy,South,409,2499,4.86,1
2022-05-21,Dairy,West,560,3159,4.897368421052631,1
2022-05-21,Instant Food,North,106,1240,4.8775,1
2022-05-21,Instant Food,South,92,1107,6.392857142857143,0
2022-05-21,Instant Food,West,107,1352,4.21875,1
2022-05-22,Dairy,North,358,2454,4.806842105263158,1
2022-05-22,Dairy,South,478,2880,5.164705882352941,1
2022-05-22,Dairy,West,491,2878,5.578421052631579,1
2022-05-22,Instant Food,North,100,1370,4.7575,0
2022-05-22,Instant Food,South,101,1175,4.9350000000000005,0
2022-05-22,Instant Food,West,143,1463,5.82875,1
2022-05-23,Dairy,North,578,3456,5.151999999999999,1
2022-05-23,Dairy,South,361,2462,4.81,1
2022-05-23,Dairy,West,526,3169,5.355,1
2022-05-23,Instant Food,North,142,1321,4.713333333333334,1
2022-05-23,Instant Food,South,77,915,6.192857142857143,1
2022-05-23,Instant Food,West,140,1218,6.27875,1
2022-05-24,Dairy,North,460,2564,5.174117647058823,1
2022-05-24,Dairy,South,335,2117,4.869166666666667,0
2022-05-24,Dairy,West,556,3114,5.762631578947368,1
2022-05-24,Instant Food,North,96,1206,5.13875,0
2022-05-24,Instant Food,South,136,1568,4.525555555555555,1
2022-05-24,Instant Food,West,102,1134,5.054285714285713,1
2022-05-25,Dairy,North,567,2950,4.731111111111111,1
2022-05-25,Dairy,South,474,2611,6.361176470588235,1
2022-05-25,Dairy,West,431,2302,5.251875,1
2022-05-25,Instant Food,North,99,793,5.635714285714286,1
2022-05-25,Instant Food,South,56,726,6.185714285714285,0
2022-05-25,Instant Food,West,147,1264,5.15625,1
2022-05-26,Dairy,North,479,2653,5.965294117647058,1
2022-05-26,Dairy,South,453,2727,4.982352941176471,1
2022-05-26,Dairy,West,505,2619,5.263333333333334,1
2022-05-26,Instant Food,North,111,1302,5.804444444444445,1
2022-05-26,Instant Food,South,86,1119,4.4275,0
2022-05-26,Instant Food,West,160,1275,6.291428571428571,1
2022-05-27,Dairy,North,511,2639,5.135882352941176,1
2022-05-27,Dairy,South,381,2416,5.588666666666667,1
2022-05-27,Dairy,West,572,3017,4.682941176470588,1
2022-05-27,Instant Food,North,109,1220,5.760000000000001,1
2022-05-27,Instant Food,South,155,1216,6.50375,1
2022-05-27,Instant Food,West,90,1140,3.85875,0
2022-05-28,Dairy,North,592,3014,4.824736842105263,1
2022-05-28,Dairy,South,596,3323,4.5765,1
2022-05-28,Dairy,West,527,3243,5.772,0
