date,forecasted_demand,lower_bound,upper_bound,category,region
2026-07-21 11:41:42.065971,932,811,1051,Dairy,West
2026-07-22 11:41:42.065971,926,813,1037,Dairy,West
2026-07-23 11:41:42.065971,935,810,1045,Dairy,West
2026-07-24 11:41:42.065971,907,789,1024,Dairy,West
2026-07-25 11:41:42.065971,922,808,1036,Dairy,West
2026-07-26 11:41:42.065971,915,793,1017,Dairy,West
2026-07-27 11:41:42.065971,907,795,1024,Dairy,West
2026-07-28 11:41:42.065971,902,790,1020,Dairy,West
2026-07-29 11:41:42.065971,895,774,1016,Dairy,West
2026-07-30 11:41:42.065971,903,789,1016,Dairy,West
2026-07-31 11:41:42.065971,875,760,993,Dairy,West
2026-08-01 11:41:42.065971,889,772,1009,Dairy,West
2026-08-02 11:41:42.065971,882,773,998,Dairy,West
2026-08-03 11:41:42.065971,874,765,987,Dairy,West
2026-08-04 11:41:42.065971,869,758,986,Dairy,West
2026-08-05 11:41:42.065971,862,741,968,Dairy,West
2026-08-06 11:41:42.065971,870,752,989,Dairy,West
2026-08-07 11:41:42.065971,842,722,960,Dairy,West
2026-08-08 11:41:42.065971,856,736,973,Dairy,West
2026-08-09 11:41:42.065971,849,744,966,Dairy,West
2026-08-10 11:41:42.065971,841,729,959,Dairy,West
2026-08-11 11:41:42.065971,836,714,949,Dairy,West
2026-08-12 11:41:42.065971,829,715,941,Dairy,West
2026-08-13 11:41:42.065971,837,731,953,Dairy,West
2026-07-15 11:41:42.510269,231,170,290,Instant Food,North
2026-07-16 11:41:42.510269,232,176,294,Instant Food,North
2026-07-17 11:41:42.510269,237,177,299,Instant Food,North
2026-07-18 11:41:42.510269,238,181,293,Instant Food,North
2026-07-19 11:41:42.510269,232,166,290,Instant Food,North
2026-07-20 11:41:42.510269,233,172,294,Instant Food,North
2026-07-21 11:41:42.510269,237,178,296,Instant Food,North
2026-07-22 11:41:42.510269,239,179,300,Instant Food,North
2026-07-23 11:41:42.510269,239,173,300,Instant Food,North
2026-07-24 11:41:42.510269,243,184,305,Instant Food,North
2026-07-25 11:41:42.510269,242,180,299,Instant Food,North
2026-07-26 11:41:42.510269,234,175,292,Instant Food,North
2026-07-27 11:41:42.510269,234,177,296,Instant Food,North
2026-07-28 11:41:42.510269,236,179,299,Instant Food,North
2026-07-29 11:41:42.510269,237,178,298,Instant Food,North
2026-07-30 11:41:42.510269,236,177,298,Instant Food,North
2026-07-31 11:41:42.510269,238,175,294,Instant Food,North
2026-08-01 11:41:42.510269,236,175,296,Instant Food,North
2026-08-02 11:41:42.510269,227,167,289,Instant Food,North
2026-08-03 11:41:42.510269,226,166,286,Instant Food,North
2026-08-04 11:41:42.510269,227,161,287,Instant Food,North
2026-08-05 11:41:42.510269,228,171,285,Instant Food,North
2026-08-06 11:41:42.510269,226,166,285,Instant Food,North
2026-08-07 11:41:42.510269,229,169,294,Instant Food,North
2026-08-08 11:41:42.510269,228,164,286,Instant Food,North
2026-08-09 11:41:42.510269,219,156,280,Instant Food,North
2026-08-10 11:41:42.510269,219,154,276,Instant Food,North
2026-08-11 11:41:42.510269,221,162,282,Instant Food,North
2026-08-12 11:41:42.510269,223,163,282,Instant Food,North
2026-08-13 11:41:42.510269,223,162,278,Instant Food,North
2026-07-15 11:41:42.999613,212,154,273,Instant Food,South
2026-07-16 11:41:42.999613,217,161,277,Instant Food,South
2026-07-17 11:41:42.999613,211,153,270,Instant Food,South
2026-07-18 11:41:42.999613,215,158,276,Instant Food,South
2026-07-19 11:41:42.999613,215,154,271,Instant Food,South
2026-07-20 11:41:42.999613,220,160,275,Instant Food,South
2026-07-21 11:41:42.999613,217,158,277,Instant Food,South
2026-07-22 11:41:42.999613,219,159,282,Instant Food,South
2026-07-23 11:41:42.999613,223,163,282,Instant Food,South
2026-07-24 11:41:42.999613,216,155,274,Instant Food,South
2026-07-25 11:41:42.999613,219,161,278,Instant Food,South
2026-07-26 11:41:42.999613,217,155,273,Instant Food,South
2026-07-27 11:41:42.999613,221,164,279,Instant Food,South
2026-07-28 11:41:42.999613,216,158,276,Instant Food,South
2026-07-29 11:41:42.999613,217,155,279,Instant Food,South
2026-07-30 11:41:42.999613,220,161,280,Instant Food,South
2026-07-31 11:41:42.999613,212,149,269,Instant Food,South
2026-08-01 11:41:42.999613,214,154,269,Instant Food,South
2026-08-02 11:41:42.999613,212,154,269,Instant Food,South
2026-08-03 11:41:42.999613,216,158,274,Instant Food,South
2026-08-04 11:41:42.999613,211,152,274,Instant Food,South
2026-08-05 11:41:42.999613,213,157,275,Instant Food,South
2026-08-06 11:41:42.999613,216,155,280,Instant Food,South
2026-08-07 11:41:42.999613,208,148,268,Instant Food,South
2026-08-08 11:41:42.999613,212,150,270,Instant Food,South
2026-08-09 11:41:42.999613,210,155,269,Instant Food,South
2026-08-10 11:41:42.999613,215,153,274,Instant Food,South
2026-08-11 11:41:42.999613,212,152,267,Instant Food,South
2026-08-12 11:41:42.999613,214,157,270,Instant Food,South
2026-08-13 11:41:42.999613,219,165,283,Instant Food,South
2026-07-15 11:41:43.426749,239,174,302,Instant Food,West
2026-07-16 11:41:43.426749,234,173,294,Instant Food,West
2026-07-17 11:41:43.426749,235,176,295,Instant Food,West
2026-07-18 11:41:43.426749,230,168,290,Instant Food,West
2026-07-19 11:41:43.426749,235,177,294,Instant Food,West
2026-07-20 11:41:43.426749,235,175,292,Instant Food,West
2026-07-21 11:41:43.426749,231,169,290,Instant Food,West
2026-07-22 11:41:43.426749,235,169,298,Instant Food,West
2026-07-23 11:41:43.426749,228,171,289,Instant Food,West
2026-07-24 11:41:43.426749,229,177,289,Instant Food,West
2026-07-25 11:41:43.426749,223,162,282,Instant Food,West
2026-07-26 11:41:43.426749,228,166,290,Instant Food,West
2026-07-27 11:41:43.426749,228,167,285,Instant Food,West
2026-07-28 11:41:43.426749,223,160,282,Instant Food,West
2026-07-29 11:41:43.426749,227,161,288,Instant Food,West
2026-07-30 11:41:43.426749,221,159,281,Instant Food,West
2026-07-31 11:41:43.426749,222,163,282,Instant Food,West
2026-08-01 11:41:43.426749,216,155,280,Instant Food,West
2026-08-02 11:41:43.426749,221,164,285,Instant Food,West
2026-08-03 11:41:43.426749,221,162,280,Instant Food,West
2026-08-04 11:41:43.426749,218,159,279,Instant Food,West
2026-08-05 11:41:43.426749,222,161,281,Instant Food,West
2026-08-06 11:41:43.426749,216,156,275,Instant Food,West
2026-08-07 11:41:43.426749,218,158,280,Instant Food,West
2026-08-08 11:41:43.426749,213,150,271,Instant Food,West
2026-08-09 11:41:43.426749,219,159,279,Instant Food,West
2026-08-10 11:41:43.426749,220,165,276,Instant Food,West
2026-08-11 11:41:43.426749,218,157,277,Instant Food,West
2026-08-12 11:41:43.426749,223,163,282,Instant Food,West
2026-08-13 11:41:43.426749,218,156,280,Instant Food,West
2026-07-15 11:41:43.803125,54,32,79,Beverages,North
2026-07-16 11:41:43.803125,52,26,75,Beverages,North
2026-07-17 11:41:43.803125,49,25,74,Beverages,North
2026-07-18 11:41:43.803125,49,22,74,Beverages,North
2026-07-19 11:41:43.803125,46,22,71,Beverages,North
2026-07-20 11:41:43.803125,47,24,72,Beverages,North
2026-07-21 11:41:43.803125,47,22,72,Beverages,North
2026-07-22 11:41:43.803125,51,26,76,Beverages,North
2026-07-23 11:41:43.803125,48,24,72,Beverages,North
2026-07-24 11:41:43.803125,46,21,71,Beverages,North
2026-07-25 11:41:43.803125,46,21,72,Beverages,North
2026-07-26 11:41:43.803125,43,20,67,Beverages,North
2026-07-27 11:41:43.803125,44,20,70,Beverages,North
2026-07-28 11:41:43.803125,44,20,68,Beverages,North
2026-07-29 11:41:43.803125,48,22,73,Beverages,North
2026-07-30 11:41:43.803125,45,21,71,Beverages,North
2026-07-31 11:41:43.803125,43,19,67,Beverages,North
2026-08-01 11:41:43.803125,43,18,67,Beverages,North
2026-08-02 11:41:43.803125,40,14,66,Beverages,North
2026-08-03 11:41:43.803125,42,16,67,Beverages,North
2026-08-04 11:41:43.803125,42,19,65,Beverages,North
2026-08-05 11:41:43.803125,46,21,70,Beverages,North
2026-08-06 11:41:43.803125,43,19,68,Beverages,North
2026-08-07 11:41:43.803125,41,15,64,Beverages,North
2026-08-08 11:41:43.803125,40,16,65,Beverages,North
2026-08-09 11:41:43.803125,38,12,63,Beverages,North
2026-08-10 11:41:43.803125,40,17,66,Beverages,North
2026-08-11 11:41:43.803125,40,15,64,Beverages,North
2026-08-12 11:41:43.803125,44,21,70,Beverages,North
2026-08-13 11:41:43.803125,42,17,66,Beverages,North
2026-07-15 11:41:44.198520,37,13,63,Beverages,South
2026-07-16 11:41:44.198520,33,7,59,Beverages,South
2026-07-17 11:41:44.198520,37,11,62,Beverages,South
2026-07-18 11:41:44.198520,36,10,62,Beverages,South
2026-07-19 11:41:44.198520,34,9,60,Beverages,South
2026-07-20 11:41:44.198520,34,9,59,Beverages,South
2026-07-21 11:41:44.198520,36,10,61,Beverages,South
2026-07-22 11:41:44.198520,37,12,63,Beverages,South
2026-07-23 11:41:44.198520,34,9,60,Beverages,South
2026-07-24 11:41:44.198520,37,12,63,Beverages,South
2026-07-25 11:41:44.198520,36,10,61,Beverages,South
2026-07-26 11:41:44.198520,34,8,59,Beverages,South
2026-07-27 11:41:44.198520,34,8,58,Beverages,South
2026-07-28 11:41:44.198520,36,10,62,Beverages,South
2026-07-29 11:41:44.198520,36,13,63,Beverages,South
2026-07-30 11:41:44.198520,33,7,59,Beverages,South
2026-07-31 11:41:44.198520,36,10,61,Beverages,South
2026-08-01 11:41:44.198520,35,9,60,Beverages,South
2026-08-02 11:41:44.198520,32,7,57,Beverages,South
2026-08-03 11:41:44.198520,32,6,58,Beverages,South
2026-08-04 11:41:44.198520,34,9,62,Beverages,South
2026-08-05 11:41:44.198520,34,9,60,Beverages,South
2026-08-06 11:41:44.198520,30,3,55,Beverages,South
2026-08-07 11:41:44.198520,33,6,58,Beverages,South
2026-08-08 11:41:44.198520,32,8,57,Beverages,South
2026-08-09 11:41:44.198520,29,4,54,Beverages,South
2026-08-10 11:41:44.198520,29,3,55,Beverages,South
2026-08-11 11:41:44.198520,31,5,56,Beverages,South
2026-08-12 11:41:44.198520,32,5,57,Beverages,South
2026-08-13 11:41:44.198520,28,3,54,Beverages,South
2026-07-15 11:41:44.648288,40,15,65,Beverages,West
2026-07-16 11:41:44.648288,42,19,69,Beverages,West
2026-07-17 11:41:44.648288,46,22,72,Beverages,West
2026-07-18 11:41:44.648288,41,17,64,Beverages,West
2026-07-19 11:41:44.648288,43,19,67,Beverages,West
2026-07-20 11:41:44.648288,42,16,67,Beverages,West
2026-07-21 11:41:44.648288,39,14,64,Beverages,West
2026-07-22 11:41:44.648288,38,15,63,Beverages,West
2026-07-23 11:41:44.648288,40,17,65,Beverages,West
2026-07-24 11:41:44.648288,44,21,68,Beverages,West
2026-07-25 11:41:44.648288,39,15,64,Beverages,West
2026-07-26 11:41:44.648288,40,15,64,Beverages,West
2026-07-27 11:41:44.648288,39,13,63,Beverages,West
2026-07-28 11:41:44.648288,36,11,60,Beverages,West
2026-07-29 11:41:44.648288,34,10,60,Beverages,West
2026-07-30 11:41:44.648288,37,12,63,Beverages,West
2026-07-31 11:41:44.648288,41,15,64,Beverages,West
2026-08-01 11:41:44.648288,35,10,58,Beverages,West
2026-08-02 11:41:44.648288,37,10,60,Beverages,West
2026-08-03 11:41:44.648288,35,10,62,Beverages,West
2026-08-04 11:41:44.648288,33,9,58,Beverages,West
2026-08-05 11:41:44.648288,30,7,58,Beverages,West
2026-08-06 11:41:44.648288,33,9,59,Beverages,West
2026-08-07 11:41:44.648288,37,9,61,Beverages,West
2026-08-08 11:41:44.648288,31,7,55,Beverages,West
2026-08-09 11:41:44.648288,33,8,57,Beverages,West
2026-08-10 11:41:44.648288,31,7,56,Beverages,West
2026-08-11 11:41:44.648288,29,5,55,Beverages,West
2026-08-12 11:41:44.648288,27,1,52,Beverages,West
2026-08-13 11:41:44.648288,29,6,53,Beverages,West
2026-07-15 11:41:45.053001,417,358,478,Snacks,North
2026-07-16 11:41:45.053001,422,360,484,Snacks,North
2026-07-17 11:41:45.053001,412,351,472,Snacks,North
2026-07-18 11:41:45.053001,407,344,471,Snacks,North
2026-07-19 11:41:45.053001,421,359,482,Snacks,North
2026-07-20 11:41:45.053001,419,359,482,Snacks,North
2026-07-21 11:41:45.053001,413,351,474,Snacks,North
2026-07-22 11:41:45.053001,415,352,479,Snacks,North
2026-07-23 11:41:45.053001,417,358,479,Snacks,North
2026-07-24 11:41:45.053001,405,345,470,Snacks,North
2026-07-25 11:41:45.053001,398,337,456,Snacks,North
2026-07-26 11:41:45.053001,410,347,470,Snacks,North
2026-07-27 11:41:45.053001,407,347,465,Snacks,North
2026-07-28 11:41:45.053001,400,339,456,Snacks,North
2026-07-29 11:41:45.053001,401,343,463,Snacks,North
2026-07-30 11:41:45.053001,403,343,464,Snacks,North
2026-07-31 11:41:45.053001,390,328,455,Snacks,North
2026-08-01 11:41:45.053001,384,324,441,Snacks,North
2026-08-02 11:41:45.053001,396,337,455,Snacks,North
2026-08-03 11:41:45.053001,393,330,456,Snacks,North
2026-08-04 11:41:45.053001,387,328,447,Snacks,North
2026-08-05 11:41:45.053001,389,327,452,Snacks,North
2026-08-06 11:41:45.053001,392,336,455,Snacks,North
2026-08-07 11:41:45.053001,381,320,441,Snacks,North
2026-08-08 11:41:45.053001,375,316,435,Snacks,North
2026-08-09 11:41:45.053001,389,328,449,Snacks,North
2026-08-10 11:41:45.053001,388,333,454,Snacks,North
2026-08-11 11:41:45.053001,383,323,446,Snacks,North
2026-08-12 11:41:45.053001,386,327,446,Snacks,North
2026-08-13 11:41:45.053001,390,325,454,Snacks,North
2026-07-15 11:41:45.471087,400,337,457,Snacks,South
2026-07-16 11:41:45.471087,414,352,475,Snacks,South
2026-07-17 11:41:45.471087,407,347,468,Snacks,South
2026-07-18 11:41:45.471087,413,352,476,Snacks,South
2026-07-19 11:41:45.471087,415,358,474,Snacks,South
2026-07-20 11:41:45.471087,417,358,482,Snacks,South
2026-07-21 11:41:45.471087,411,353,473,Snacks,South
2026-07-22 11:41:45.471087,410,349,471,Snacks,South
2026-07-23 11:41:45.471087,421,361,485,Snacks,South
2026-07-24 11:41:45.471087,412,354,472,Snacks,South
2026-07-25 11:41:45.471087,417,356,482,Snacks,South
2026-07-26 11:41:45.471087,416,356,479,Snacks,South
2026-07-27 11:41:45.471087,416,355,478,Snacks,South
2026-07-28 11:41:45.471087,408,351,469,Snacks,South
2026-07-29 11:41:45.471087,405,347,466,Snacks,South
2026-07-30 11:41:45.471087,414,359,475,Snacks,South
2026-07-31 11:41:45.471087,403,343,468,Snacks,South
2026-08-01 11:41:45.471087,406,340,466,Snacks,South
2026-08-02 11:41:45.471087,404,339,463,Snacks,South
2026-08-03 11:41:45.471087,402,337,463,Snacks,South
2026-08-04 11:41:45.471087,393,329,452,Snacks,South
2026-08-05 11:41:45.471087,389,325,451,Snacks,South
2026-08-06 11:41:45.471087,397,336,463,Snacks,South
2026-08-07 11:41:45.471087,386,328,445,Snacks,South
2026-08-08 11:41:45.471087,389,330,448,Snacks,South
2026-08-09 11:41:45.471087,386,325,452,Snacks,South
2026-08-10 11:41:45.471087,385,322,447,Snacks,South
2026-08-11 11:41:45.471087,377,312,438,Snacks,South
2026-08-12 11:41:45.471087,373,313,437,Snacks,South
2026-08-13 11:41:45.471087,382,319,445,Snacks,South
2026-07-15 11:41:45.924809,327,264,387,Snacks,West
2026-07-16 11:41:45.924809,333,267,397,Snacks,West
2026-07-17 11:41:45.924809,326,257,393,Snacks,West
2026-07-18 11:41:45.924809,335,269,397,Snacks,West
2026-07-19 11:41:45.924809,337,269,404,Snacks,West
2026-07-20 11:41:45.924809,334,274,395,Snacks,West
2026-07-21 11:41:45.924809,328,267,393,Snacks,West
2026-07-22 11:41:45.924809,333,267,400,Snacks,West
2026-07-23 11:41:45.924809,339,275,403,Snacks,West
2026-07-24 11:41:45.924809,332,274,396,Snacks,West
2026-07-25 11:41:45.924809,341,277,404,Snacks,West
2026-07-26 11:41:45.924809,343,277,407,Snacks,West
2026-07-27 11:41:45.924809,340,277,401,Snacks,West
2026-07-28 11:41:45.924809,333,271,394,Snacks,West
2026-07-29 11:41:45.924809,338,272,403,Snacks,West
2026-07-30 11:41:45.924809,344,281,406,Snacks,West
2026-07-31 11:41:45.924809,336,271,398,Snacks,West
2026-08-01 11:41:45.924809,344,278,412,Snacks,West
2026-08-02 11:41:45.924809,346,279,405,Snacks,West
2026-08-03 11:41:45.924809,342,279,402,Snacks,West
2026-08-04 11:41:45.924809,335,274,395,Snacks,West
2026-08-05 11:41:45.924809,340,272,403,Snacks,West
2026-08-06 11:41:45.924809,345,280,407,Snacks,West
2026-08-07 11:41:45.924809,337,267,403,Snacks,West
2026-08-08 11:41:45.924809,345,279,408,Snacks,West
2026-08-09 11:41:45.924809,346,284,412,Snacks,West
2026-08-10 11:41:45.924809,342,277,407,Snacks,West
2026-08-11 11:41:45.924809,335,265,397,Snacks,West
2026-08-12 11:41:45.924809,339,278,401,Snacks,West
2026-08-13 11:41:45.924809,344,277,409,Snacks,West
2026-07-15 11:41:46.389983,157,113,198,Stationery,North
2026-07-16 11:41:46.389983,159,116,202,Stationery,North
2026-07-17 11:41:46.389983,152,113,196,Stationery,North
2026-07-18 11:41:46.389983,140,99,184,Stationery,North
2026-07-19 11:41:46.389983,149,107,191,Stationery,North
2026-07-20 11:41:46.389983,159,115,203,Stationery,North
2026-07-21 11:41:46.389983,154,113,198,Stationery,North
2026-07-22 11:41:46.389983,150,107,190,Stationery,North
2026-07-23 11:41:46.389983,149,108,188,Stationery,North
2026-07-24 11:41:46.389983,138,95,178,Stationery,North
2026-07-25 11:41:46.389983,124,79,163,Stationery,North
2026-07-26 11:41:46.389983,130,85,171,Stationery,North
2026-07-27 11:41:46.389983,137,93,180,Stationery,North
2026-07-28 11:41:46.389983,130,87,173,Stationery,North
2026-07-29 11:41:46.389983,124,81,168,Stationery,North
2026-07-30 11:41:46.389983,121,79,164,Stationery,North
2026-07-31 11:41:46.389983,110,65,150,Stationery,North
2026-08-01 11:41:46.389983,94,53,135,Stationery,North
2026-08-02 11:41:46.389983,100,57,143,Stationery,North
2026-08-03 11:41:46.389983,107,63,151,Stationery,North
2026-08-04 11:41:46.389983,100,55,140,Stationery,North
2026-08-05 11:41:46.389983,95,56,137,Stationery,North
2026-08-06 11:41:46.389983,93,52,137,Stationery,North
2026-08-07 11:41:46.389983,84,43,127,Stationery,North
2026-08-08 11:41:46.389983,70,32,113,Stationery,North
2026-08-09 11:41:46.389983,78,35,118,Stationery,North
2026-08-10 11:41:46.389983,87,45,126,Stationery,North
2026-08-11 11:41:46.389983,83,40,125,Stationery,North
2026-08-12 11:41:46.389983,80,39,122,Stationery,North
2026-08-13 11:41:46.389983,81,38,127,Stationery,North
2026-07-15 11:41:46.901140,145,106,188,Stationery,South
2026-07-16 11:41:46.901140,148,108,189,Stationery,South
2026-07-17 11:41:46.901140,145,104,189,Stationery,South
2026-07-18 11:41:46.901140,129,88,172,Stationery,South
2026-07-19 11:41:46.901140,140,94,179,Stationery,South
2026-07-20 11:41:46.901140,149,110,188,Stationery,South
2026-07-21 11:41:46.901140,146,105,189,Stationery,South
2026-07-22 11:41:46.901140,138,97,183,Stationery,South
2026-07-23 11:41:46.901140,139,98,178,Stationery,South
2026-07-24 11:41:46.901140,132,91,176,Stationery,South
2026-07-25 11:41:46.901140,114,72,159,Stationery,South
2026-07-26 11:41:46.901140,123,83,163,Stationery,South
2026-07-27 11:41:46.901140,129,86,170,Stationery,South
2026-07-28 11:41:46.901140,124,83,166,Stationery,South
2026-07-29 11:41:46.901140,115,75,155,Stationery,South
2026-07-30 11:41:46.901140,113,74,154,Stationery,South
2026-07-31 11:41:46.901140,106,63,147,Stationery,South
2026-08-01 11:41:46.901140,87,46,131,Stationery,South
2026-08-02 11:41:46.901140,95,54,137,Stationery,South
2026-08-03 11:41:46.901140,101,59,143,Stationery,South
2026-08-04 11:41:46.901140,97,55,139,Stationery,South
2026-08-05 11:41:46.901140,88,47,127,Stationery,South
2026-08-06 11:41:46.901140,88,45,131,Stationery,South
2026-08-07 11:41:46.901140,82,38,126,Stationery,South
2026-08-08 11:41:46.901140,64,23,105,Stationery,South
2026-08-09 11:41:46.901140,74,33,117,Stationery,South
2026-08-10 11:41:46.901140,82,40,122,Stationery,South
2026-08-11 11:41:46.901140,80,38,120,Stationery,South
2026-08-12 11:41:46.901140,74,29,112,Stationery,South
2026-08-13 11:41:46.901140,76,34,120,Stationery,South
2026-07-15 11:41:47.312877,146,108,184,Stationery,West
2026-07-16 11:41:47.312877,149,110,191,Stationery,West
2026-07-17 11:41:47.312877,138,100,181,Stationery,West
2026-07-18 11:41:47.312877,128,85,170,Stationery,West
2026-07-19 11:41:47.312877,137,96,177,Stationery,West
2026-07-20 11:41:47.312877,143,102,186,Stationery,West
2026-07-21 11:41:47.312877,139,94,180,Stationery,West
2026-07-22 11:41:47.312877,136,95,177,Stationery,West
2026-07-23 11:41:47.312877,136,94,176,Stationery,West
2026-07-24 11:41:47.312877,122,81,162,Stationery,West
2026-07-25 11:41:47.312877,109,66,154,Stationery,West
2026-07-26 11:41:47.312877,116,74,156,Stationery,West
2026-07-27 11:41:47.312877,120,79,158,Stationery,West
2026-07-28 11:41:47.312877,115,75,155,Stationery,West
2026-07-29 11:41:47.312877,110,71,148,Stationery,West
2026-07-30 11:41:47.312877,110,70,151,Stationery,West
2026-07-31 11:41:47.312877,95,55,133,Stationery,West
2026-08-01 11:41:47.312877,82,42,125,Stationery,West
2026-08-02 11:41:47.312877,89,48,130,Stationery,West
2026-08-03 11:41:47.312877,94,54,136,Stationery,West
2026-08-04 11:41:47.312877,89,49,130,Stationery,West
2026-08-05 11:41:47.312877,86,49,127,Stationery,West
2026-08-06 11:41:47.312877,87,47,129,Stationery,West
2026-08-07 11:41:47.312877,74,33,114,Stationery,West
2026-08-08 11:41:47.312877,63,20,103,Stationery,West
2026-08-09 11:41:47.312877,72,34,111,Stationery,West
2026-08-10 11:41:47.312877,79,36,116,Stationery,West
2026-08-11 11:41:47.312877,77,36,117,Stationery,West
2026-08-12 11:41:47.312877,76,34,115,Stationery,West
2026-08-13 11:41:47.312877,79,38,119,Stationery,West
